Te,rate,energy,K_druyv
1.7475284000076838,2.910637016443732e-18,15.7,1.2285272087455082e-24
1.8738174228603839,5.617817219038991e-18,15.7,1.9070836013565077e-23
2.009233002565047,1.040850079254585e-17,15.7,2.121571747226515e-22
2.1544346900318843,1.8562076498372972e-17,15.7,1.7661969519376775e-21
2.31012970008316,3.194332598677045e-17,15.7,1.1424763315730466e-20
2.4770763559917115,5.317067141709812e-17,15.7,5.932996551820129e-20
2.656087782946687,8.579390067224329e-17,15.7,2.5447349246179138e-19
2.848035868435802,1.3446883811782216e-16,15.7,9.239333957367452e-19
3.0538555088334154,2.0511404778024804e-16,15.7,2.90086037632047e-18
3.2745491628777286,3.050336298318496e-16,15.7,8.022533187491307e-18
3.511191734215131,4.4299073289527546e-16,15.7,1.9857323574319387e-17
3.7649358067924674,6.2921858864493305e-16,15.7,4.4600859132836175e-17
4.037017258596556,8.75359535472359e-16,15.7,9.199471349356104e-17
4.328761281083059,1.1943273414479821e-15,15.7,1.7606582946900772e-16
4.641588833612779,1.6000937568181556e-15,15.7,3.154915675942717e-16
4.977023564332112,2.1074061298739183e-15,15.7,5.334658686453519e-16
5.3366992312063095,2.731448554056259e-15,15.7,8.570494260906198e-16
5.722367659350217,3.4874638022207537e-15,15.7,1.3160891993011911e-15
6.1359072734131725,4.390356703594426e-15,15.7,1.9418545005038172e-15
6.5793322465756825,5.454301197731223e-15,15.7,2.7655450327318106e-15
7.054802310718645,6.6923728164202855e-15,15.7,3.816793803629513e-15
7.56463327554629,8.116225811774526e-15,15.7,5.1222450028345674e-15
8.111308307896872,9.735829855482583e-15,15.7,6.704263115186475e-15
8.697490026177835,1.1559275713393697e-14,15.7,8.579836661670529e-15
9.326033468832199,1.3592653244486675e-14,15.7,1.0759766408274786e-14
10.0,1.5839999219891912e-14,15.7,1.3248246349334076e-14
10.722672220103231,1.8303307461500416e-14,15.7,1.6042929938480707e-14
11.497569953977356,2.0982590135857587e-14,15.7,1.9135514363657005e-14
12.32846739442066,2.387597694687965e-14,15.7,2.251278536138855e-14
13.219411484660288,2.6979838451477535e-14,15.7,2.6157973598255113e-14
14.174741629268048,3.028892058108593e-14,15.7,3.005221252212685e-14
15.199110829529332,3.3796479370293387e-14,15.7,3.4175876853382814e-14
16.297508346206453,3.749440750313712e-14,15.7,3.850962239463159e-14
17.475284000076847,4.1373347232185425e-14,15.7,4.303502655850767e-14
18.73817422860385,4.542278719722466e-14,15.7,4.773482009111624e-14
20.09233002565048,4.9631143419672066e-14,15.7,5.2592778301564306e-14
21.544346900318846,5.3985827079516314e-14,15.7,5.759338646310842e-14
23.101297000831604,5.847330344244483e-14,15.7,6.272140303965253e-14
24.770763559917114,6.307914738870652e-14,15.7,6.796142251866614e-14
26.560877829466868,6.778810134814657e-14,15.7,7.32975011775445e-14
28.48035868435802,7.258414108108052e-14,15.7,7.871286981817243e-14
30.538555088334157,7.745055375274299e-14,15.7,8.418972960495905e-14
32.74549162877728,8.237003129385703e-14,15.7,8.97091168651971e-14
35.11191734215131,8.73247803373573e-14,15.7,9.525082986246898e-14
37.64935806792467,9.229664830306837e-14,15.7,1.0079342871487093e-13
40.37017258596554,9.726726367242687e-14,15.7,1.0631433685238946e-13
43.28761281083057,1.0221818729112643e-13,15.7,1.1179007507606508e-13
46.41588833612782,1.071310706988921e-13,15.7,1.1719663996486332e-13
49.770235643321136,1.1198781693659744e-13,15.7,1.2251000230726356e-13
53.366992312063125,1.1677073881856428e-13,15.7,1.277066648111954e-13
57.223676593502205,1.2146270895063463e-13,15.7,1.3276419968540076e-13
61.35907273413176,1.26047294393285e-13,15.7,1.3766169481201765e-13
