Te,rate,energy,K_druyv
37.64935806792467,1.6324784506832759e-13,0.001549899840110249,1.566034668395239e-13
40.37017258596554,1.585866540557885e-13,0.0016619837585745193,1.5110811571527797e-13
43.28761281083057,1.5389033218998588e-13,0.0017821676704582337,1.4568172334493999e-13
46.41588833612782,1.4918074571280766e-13,0.0019110369397841195,1.4033978212318926e-13
49.770235643321136,1.4447784673646113e-13,0.0020492192332066854,1.3509632243735246e-13
53.366992312063125,1.397997021464888e-13,0.0021973875771059154,1.29964320562304e-13
57.223676593502205,1.351625460778271e-13,0.0023562636356086134,1.2495582888229834e-13
61.35907273413176,1.305808561049957e-13,0.0025266212255032503,1.2008179635819398e-13
65.79332246575683,1.2606745045739188e-13,0.002709290085167947,1.1535163304324335e-13
70.54802310718645,1.216335999375601e-13,0.0029051599158684046,1.107726532030568e-13
75.64633275546291,1.1728914452699806e-13,0.0031151847151092166,1.0634958678064787e-13
81.11308307896873,1.1304260179916108e-13,0.0033403874231444385,1.0208436033984858e-13
86.97490026177834,1.0890125312515174e-13,0.003581864905278567,9.797629845882142e-14
93.26033468832199,1.048711949921672e-13,0.003840793294224577,9.402278103221559e-14
100.0,1.009573469199366e-13,0.004118433718539323,9.022024198234787e-14
